"Longitude","Latitude","NDVI_05_09_05_24","EVI_05_09_05_24","NDVI_05_25_06_09","EVI_05_25_06_09","NDVI_06_10_06_25","EVI_06_10_06_25","NDVI_06_26_12_31","EVI_06_26_12_31"
36.8529802892071,0.504898105707113,0.421,0.2631,0.3575,0.2022,0.3069,0.1721,0.2989,0.1628
36.8532497837929,0.504898105707113,0.4232,0.2562,0.3585,0.2039,0.3111,0.1786,0.2989,0.1628
36.8535192783786,0.504898105707113,0.4232,0.2562,0.3585,0.2039,0.3111,0.1786,0.2989,0.1628
36.8537887729643,0.504898105707113,0.4232,0.2562,0.3585,0.2039,0.3111,0.1786,0.2989,0.1628
36.85405826755,0.504898105707113,0.4232,0.2562,0.3585,0.2039,0.3111,0.1786,0.2989,0.1628
36.8543277621357,0.504898105707113,0.4232,0.2562,0.3585,0.2039,0.3111,0.1786,0.2989,0.1628
36.8545972567214,0.504898105707113,0.4232,0.2562,0.3585,0.2039,0.3111,0.1786,0.2989,0.1628
36.8548667513071,0.504898105707113,0.4232,0.2562,0.3585,0.2039,0.3111,0.1786,0.2989,0.1628
36.8551362458929,0.504898105707113,0.4232,0.2562,0.3585,0.2039,0.3111,0.1786,0.2989,0.1628
36.8554057404786,0.504898105707113,0.4374,0.2701,0.3681,0.2078,0.3369,0.1958,0.303,0.1772
36.8556752350643,0.504898105707113,0.4374,0.2701,0.3681,0.2078,0.3369,0.1958,0.303,0.1772
36.85594472965,0.504898105707113,0.4374,0.2701,0.3681,0.2078,0.3369,0.1958,0.303,0.1772
36.8562142242357,0.504898105707113,0.4374,0.2701,0.3681,0.2078,0.3369,0.1958,0.303,0.1772
36.8564837188214,0.504898105707113,0.4374,0.2701,0.3681,0.2078,0.3369,0.1958,0.303,0.1772
36.8567532134071,0.504898105707113,0.4374,0.2701,0.3681,0.2078,0.3369,0.1958,0.303,0.1772
36.8570227079929,0.504898105707113,0.4374,0.2701,0.3681,0.2078,0.3369,0.1958,0.303,0.1772
36.8572922025786,0.504898105707113,0.4374,0.2701,0.3681,0.2078,0.3369,0.1958,0.303,0.1772
36.8575616971643,0.504898105707113,0.4361,0.2728,0.3726,0.2123,0.3309,0.196,0.2909,0.1721
36.85783119175,0.504898105707113,0.4361,0.2728,0.3726,0.2123,0.3309,0.196,0.2909,0.1721
36.8581006863357,0.504898105707113,0.4361,0.2728,0.3726,0.2123,0.3309,0.196,0.2909,0.1721
